time;value:ana_in_4;value:ana_in_5;value:ps_pin;id:ps_pin;bucket:ps_pin;metadata:ps_pin;value:inputs;id:inputs;bucket:inputs;metadata:inputs;value:ip;id:ip;bucket:ip;metadata:ip;value:location;id:location;bucket:location;location:location;metadata:location;value:rssi;id:rssi;bucket:rssi;metadata:rssi
2022-08-01T16:23:29.000-03:00;;1250;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:23:24.000-03:00;;1314;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:23:19.000-03:00;;1323;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:23:14.000-03:00;;1270;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:23:09.000-03:00;;1317;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:23:04.000-03:00;;1326;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:22:59.000-03:00;;1322;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:22:54.000-03:00;;1260;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:22:49.000-03:00;;1282;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:22:44.000-03:00;;1317;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:22:39.000-03:00;;1325;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:22:34.000-03:00;;1259;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:22:29.000-03:00;;1325;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:22:24.000-03:00;;1258;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:22:19.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:22:14.000-03:00;;1267;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:22:09.000-03:00;;1322;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:22:04.000-03:00;;1260;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:21:59.000-03:00;;1322;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:21:54.000-03:00;;1319;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:21:49.000-03:00;;1297;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:21:44.000-03:00;;1314;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:21:39.000-03:00;;1255;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:21:34.000-03:00;;1253;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:21:29.000-03:00;;1318;;;;;;;;;;;;;;;;;;;;;
2022-08-01T16:21:24.000-03:00;;1248;;;;;;;;;;;;;;;;;;;;;
